order_id,order_date,product_id,amount
CA-2016-152156,2016-08-11,FUR-BO-10001798,261.96
CA-2016-152156,2016-08-11,FUR-CH-10000454,731.94
CA-2016-138688,2016-12-06,OFF-LA-10000240,14.62
US-2015-108966,2015-11-10,FUR-TA-10000577,957.5775
US-2015-108966,2015-11-10,OFF-ST-10000760,22.368
CA-2014-115812,2014-09-06,FUR-FU-10001487,48.86
CA-2014-115812,2014-09-06,OFF-AR-10002833,7.28
CA-2014-115812,2014-09-06,TEC-PH-10002275,907.152
CA-2014-115812,2014-09-06,OFF-BI-10003910,18.504
CA-2014-115812,2014-09-06,OFF-AP-10002892,114.9
CA-2014-115812,2014-09-06,FUR-TA-10001539,1706.184
CA-2014-115812,2014-09-06,TEC-PH-10002033,911.424
CA-2017-114412,2017-04-15,OFF-PA-10002365,15.552
CA-2016-161389,2016-05-12,OFF-BI-10003656,407.976
US-2015-118983,2015-11-22,OFF-AP-10002311,68.81
US-2015-118983,2015-11-22,OFF-BI-10000756,2.544
CA-2014-105893,2014-11-11,OFF-ST-10004186,665.88
CA-2014-167164,2014-05-13,OFF-ST-10000107,55.5
CA-2014-143336,2014-08-27,OFF-AR-10003056,8.56
CA-2014-143336,2014-08-27,TEC-PH-10001949,213.48
CA-2014-143336,2014-08-27,OFF-BI-10002215,22.72
CA-2016-137330,2016-09-12,OFF-AR-10000246,19.46
CA-2016-137330,2016-09-12,OFF-AP-10001492,60.34
US-2017-156909,2017-07-16,FUR-CH-10002774,71.372
CA-2015-106320,2015-09-25,FUR-TA-10000577,1044.63
CA-2016-121755,2016-01-16,OFF-BI-10001634,11.648
CA-2016-121755,2016-01-16,TEC-AC-10003027,90.57
US-2015-150630,2015-09-17,FUR-BO-10004834,3083.43
US-2015-150630,2015-09-17,OFF-BI-10000474,9.618
US-2015-150630,2015-09-17,FUR-FU-10004848,124.2
US-2015-150630,2015-09-17,OFF-EN-10001509,3.264
US-2015-150630,2015-09-17,OFF-AR-10004042,86.304
US-2015-150630,2015-09-17,OFF-BI-10001525,6.858
US-2015-150630,2015-09-17,OFF-AR-10001683,15.76
CA-2017-107727,2017-10-19,OFF-PA-10000249,29.472
CA-2016-117590,2016-08-12,TEC-PH-10004977,1097.544
CA-2016-117590,2016-08-12,FUR-FU-10003664,190.92
CA-2015-117415,2015-12-27,OFF-EN-10002986,113.328
CA-2015-117415,2015-12-27,FUR-BO-10002545,532.3992
CA-2015-117415,2015-12-27,FUR-CH-10004218,212.058
CA-2015-117415,2015-12-27,TEC-PH-10000486,371.168
CA-2017-120999,2017-10-09,TEC-PH-10004093,147.168
CA-2016-101343,2016-07-17,OFF-ST-10003479,77.88
CA-2017-139619,2017-09-19,OFF-ST-10003282,95.616
CA-2016-118255,2016-11-03,TEC-AC-10000171,45.98
CA-2016-118255,2016-11-03,OFF-BI-10003291,17.46
CA-2014-146703,2014-10-20,OFF-ST-10001713,211.96
CA-2016-169194,2016-06-20,TEC-AC-10002167,45.0
CA-2016-169194,2016-06-20,TEC-PH-10003988,21.8
CA-2015-115742,2015-04-18,OFF-BI-10004410,38.22
CA-2015-115742,2015-04-18,OFF-LA-10002762,75.18
CA-2015-115742,2015-04-18,FUR-FU-10001706,6.16
CA-2015-115742,2015-04-18,FUR-CH-10003061,89.99
CA-2016-105816,2016-11-12,OFF-FA-10000304,15.26
CA-2016-105816,2016-11-12,TEC-PH-10002447,1029.95
CA-2016-111682,2016-06-17,OFF-ST-10000604,208.56
CA-2016-111682,2016-06-17,OFF-PA-10001569,32.4
CA-2016-111682,2016-06-17,FUR-CH-10003968,319.41
CA-2016-111682,2016-06-17,OFF-PA-10000587,14.56
CA-2016-111682,2016-06-17,TEC-AC-10002167,30.0
CA-2016-111682,2016-06-17,OFF-BI-10001460,48.48
CA-2016-111682,2016-06-17,OFF-AR-10001868,1.68
CA-2015-135545,2015-11-24,TEC-AC-10004633,13.98
CA-2015-135545,2015-11-24,OFF-BI-10001078,25.824
CA-2015-135545,2015-11-24,OFF-PA-10003892,146.73
CA-2015-135545,2015-11-24,FUR-FU-10000397,79.76
US-2015-164175,2015-04-30,FUR-CH-10001146,213.115
